Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CX,Cemex S.A.B. de C.V.,3.87,$5.76B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cx
CVE,Cenovus Energy Inc,10.04,$12.34B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cve
CNC,Centene Corporation,62.9,$26.03B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/cnc
CEN,Center Coast Brookfield MLP & Energy Infrastructur,6.47,$276.58M,2013,n/a,n/a,https://old.nasdaq.com/symbol/cen
CNP,"CenterPoint Energy, Inc.",26.73,$13.42B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cnp
CNP^B,"CenterPoint Energy, Inc.",48.13,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cnp^b
EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,9.28,$12.56B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ebr
EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobras,n/a,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/ebr.b
CEPU,Central Puerto S.A.,5.14,$773.66M,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cepu
CCS,"Century Communities, Inc.",27.42,$859.55M,2014,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/ccs
CTL,"CenturyLink, Inc.",13.19,$14.38B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctl
CDAY,Ceridian HCM Holding Inc.,66.47,$9.28B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cday
CF,"CF Industries Holdings, Inc.",47.75,$10.38B,2005,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/cf
GIB,CGI Inc.,83.79,$20.12B,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/gib
ECOM          ,ChannelAdvisor Corporation,9.15,$256.74M,2013,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ecom
CHAP,"Chaparral Energy, Inc.",1.22,$56.61M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/chap
CHRA,"Charah Solutions, Inc.",2.48,$73.46M,2018,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/chra
CRL,"Charles River Laboratories International, Inc.",151.34,$7.39B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/crl
CLDT,Chatham Lodging Trust (REIT),18.38,$862.48M,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cldt
CMCM,Cheetah Mobile Inc.,3.56,$495.93M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cmcm
CHGG,"Chegg, Inc.",38.04,$4.6B,2013,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/chgg
CHE,Chemed Corp.,436.11,$6.98B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/che
CC,Chemours Company (The),18.6,$3.04B,2015,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/cc
CHMI,Cherry Hill Mortgage Investment Corporation,14.63,$247.2M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/chmi
CHMI^A,Cherry Hill Mortgage Investment Corporation,25.925,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chmi^a
CHMI^B,Cherry Hill Mortgage Investment Corporation,26.1459,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chmi^b
CHK,Chesapeake Energy Corporation,0.95,$1.86B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/chk
CHK^D,Chesapeake Energy Corporation,20.8208,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chk^d
CHKR,Chesapeake Granite Wash Trust,0.5319,$24.87M,2011,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/chkr
CPK,Chesapeake Utilities Corporation,96.44,$1.58B,n/a,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/cpk
CVX,Chevron Corporation,120.33,$227.53B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvx
CHWY,"Chewy, Inc.",28.44,$11.34B,2019,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/chwy
CHS,"Chico&#39;s FAS, Inc.",4.14,$491.09M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/chs
CIM,Chimera Investment Corporation,21.09,$3.95B,2007,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cim
CIM^A,Chimera Investment Corporation,26.4423,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^a
CIM^B,Chimera Investment Corporation,26.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^b
CIM^C,Chimera Investment Corporation,25.8615,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^c
CIM^D,Chimera Investment Corporation,26.3133,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^d
DL,China Distance Education Holdings Limited,7.73,$259.36M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dl
CEA,China Eastern Airlines Corporation Ltd.,26.35,$8.63B,1997,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cea
CHN,"China Fund, Inc. (The)",22.28,$239.1M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chn
CGA,"China Green Agriculture, Inc.",2.5295,$15.11M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/cga
LFC,China Life Insurance Company Limited,13.61,$76.94B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/lfc
CHL,China Mobile (Hong Kong) Ltd.,41.41,$169.58B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/chl
COE,China Online Education Group,9.23,$188.24M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/coe
SNP,China Petroleum & Chemical Corporation,59.39,$71.9B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/snp
XRF,China Rapid Finance Limited,1.9221,$1.26M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/xrf
ZNH,China Southern Airlines Company Limited,33.84,$8.3B,1997,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/znh
CHA,China Telecom Corp Ltd,40.69,$32.93B,2002,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cha
CHU,China Unicom (Hong Kong) Ltd,9.2,$28.15B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/chu
CYD,China Yuchai International Limited,13.62,$556.49M,1994,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cyd
CMG,"Chipotle Mexican Grill, Inc.",828.29,$23.02B,2006,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cmg
CHH,"Choice Hotels International, Inc.",103.73,$5.78B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/chh
CB,Chubb Limited,154.2,$69.88B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cb
CHT,"Chunghwa Telecom Co., Ltd.",36.98,$28.69B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cht
CHD,"Church & Dwight Company, Inc.",70.15,$17.21B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/chd
CCX,Churchill Capital Corp II,10.2451,$883.64M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/ccx
CCX.U,Churchill Capital Corp II,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/ccx.u
CCX.WS,Churchill Capital Corp II,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ccx.ws
CIEN,Ciena Corporation,42.36,$6.54B,1997,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cien
CI,Cigna Corporation,206.47,$77.1B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ci
XEC,Cimarex Energy Co,52.44,$5.34B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/xec
CBB,Cincinnati Bell Inc,10.45,$526.9M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cbb
CBB^B,Cincinnati Bell Inc,47.4615,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cbb^b
CNK,Cinemark Holdings Inc,33.78,$3.96B,2007,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/cnk
CINR,Ciner Resources LP,17.84,$352.48M,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cinr
CIR,"CIRCOR International, Inc.",45.99,$915.67M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cir
CISN,Cision Ltd.,9.97,$1.48B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cisn
CIT,CIT Group Inc (DEL),46.14,$4.37B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cit
CIT^B,CIT Group Inc (DEL),25.76,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cit^b
BLW,Citigroup Inc.,16.07,$575.83M,2003,Finance,Major Banks,https://old.nasdaq.com/symbol/blw
C,Citigroup Inc.,78.76,$171.95B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/c
C^J,Citigroup Inc.,28.35,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/c^j
C^K,Citigroup Inc.,28.23,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/c^k
C^N,Citigroup Inc.,27.92,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/c^n
C^S,Citigroup Inc.,26.35,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/c^s
CFG,"Citizens Financial Group, Inc.",40.44,$17.58B,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/cfg
CFG^D,"Citizens Financial Group, Inc.",28.09,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cfg^d
CFG^E,"Citizens Financial Group, Inc.",25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cfg^e
CIA,"Citizens, Inc.",6.99,$351.11M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/cia
CIO,"City Office REIT, Inc.",13.23,$721.66M,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cio
CIO^A,"City Office REIT, Inc.",25.87,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cio^a
CVEO,Civeo Corporation,1.35,$228.89M,2014,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/cveo
CCC,Clarivate Analytics Plc,17.09,$5.24B,2019,Technology,EDP Services,https://old.nasdaq.com/symbol/ccc
CLH,"Clean Harbors, Inc.",86.01,$4.8B,n/a,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/clh
CCO,"Clear Channel Outdoor Holdings, Inc.",2.77,$1.5B,2005,Consumer Services,Advertising,https://old.nasdaq.com/symbol/cco
EMO,ClearBridge Energy Midstream Opportunity Fund Inc.,8.66,$621.04M,2011,n/a,n/a,https://old.nasdaq.com/symbol/emo
CEM,ClearBridge MLP and Midstream Fund Inc.,11.86,$835.12M,2010,n/a,n/a,https://old.nasdaq.com/symbol/cem
CTR,ClearBridge MLP and Midstream Total Return Fund In,8.76,$336.39M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ctr
CLW,Clearwater Paper Corporation,21.16,$349.47M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/clw
CWEN,"Clearway Energy, Inc.",19.85,$3.95B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cwen
CWEN.A,"Clearway Energy, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cwen.a
CLF,Cleveland-Cliffs Inc.,8.21,$2.22B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/clf
CLPR,Clipper Realty Inc.,10.29,$183.31M,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clpr
CLX,Clorox Company (The),152.34,$19.12B,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/clx
CLDR,"Cloudera, Inc.",11.89,$3.41B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cldr
NET,"Cloudflare, Inc.",17.34,$5.21B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/net
CMS,CMS Energy Corporation,62.29,$17.68B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms
CMS^B,CMS Energy Corporation,108.5,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms^b
CMSA,CMS Energy Corporation,26.73,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsa
CMSC,CMS Energy Corporation,27.49,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsc
CMSD,CMS Energy Corporation,27.82,n/a,2019,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsd
CNA,CNA Financial Corporation,44.06,$11.96B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cna
CNF,CNFinance Holdings Limited,5.1008,$349.82M,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/cnf
CNHI,CNH Industrial N.V.,11.09,$14.99B,2013,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/cnhi
CNO,"CNO Financial Group, Inc.",18.46,$2.79B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/cno
CEO,CNOOC Limited,163.48,$1.75B,2001,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ceo
CNXM,CNX Midstream Partners LP,15.95,$1.02B,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/cnxm
CNX,CNX Resources Corporation,8.84,$1.65B,1999,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnx
KOF,Coca Cola Femsa S.A.B. de C.V.,60.74,$92.51B,1993,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/kof
KO,Coca-Cola Company (The),54.91,$235.26B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ko
CCEP,Coca-Cola European Partners plc,50.69,$23.13B,2016,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ccep
CDE,"Coeur Mining, Inc.",7.65,$1.84B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cde
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",13.36,$363.51M,2006,n/a,n/a,https://old.nasdaq.com/symbol/fof
CNS,Cohen & Steers Inc,62.48,$2.95B,2004,Finance,Investment Managers,https://old.nasdaq.com/symbol/cns
UTF,"Cohen & Steers Infrastructure Fund, Inc",26.27,$2.24B,2004,n/a,n/a,https://old.nasdaq.com/symbol/utf
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",27.03,$779.68M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ldp
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",7.8,$208.99M,2013,n/a,n/a,https://old.nasdaq.com/symbol/mie
RQI,Cohen & Steers Quality Income Realty Fund Inc,14.74,$1.61B,2002,n/a,n/a,https://old.nasdaq.com/symbol/rqi
RNP,"Cohen & Steers REIT and Preferred and Income Fund,",23.58,$1.12B,2003,n/a,n/a,https://old.nasdaq.com/symbol/rnp
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc.",31.58,$379.13M,2010,n/a,n/a,https://old.nasdaq.com/symbol/psf
RFI,"Cohen & Steers Total Return Realty Fund, Inc.",14.49,$379.08M,1993,n/a,n/a,https://old.nasdaq.com/symbol/rfi
CFX,Colfax Corporation,35.99,$4.24B,2008,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/cfx
CFXA,Colfax Corporation,156.01,n/a,2019,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/cfxa
CL,Colgate-Palmolive Company,68.72,$58.9B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/cl
CCH,Collier Creek Holdings,10.28,$574.4M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/cch
CCH.U,Collier Creek Holdings,n/a,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/cch.u
CCH.WS,Collier Creek Holdings,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cch.ws
CXE,Colonial High Income Municipal Trust,5.57,$175.53M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxe
CIF,Colonial Intermediate High Income Fund,2.79,$54.76M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cif
CXH,Colonial Investment Grade Municipal Trust,9.79,$89.19M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxh
CMU,Colonial Municipal Income Trust,4.82,$136.53M,1987,n/a,n/a,https://old.nasdaq.com/symbol/cmu
CLNY,"Colony Capital, Inc.",4.76,$2.32B,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clny
CLNY^B.CL,"Colony Capital, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^b.cl
CLNY^E.CL,"Colony Capital, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^e.cl
CLNY^G,"Colony Capital, Inc.",24.7697,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^g
CLNY^H,"Colony Capital, Inc.",23.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^h
CLNY^I,"Colony Capital, Inc.",23.77,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^i
CLNY^J,"Colony Capital, Inc.",23.64,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^j
CLNC,"Colony Credit Real Estate, Inc.",13.43,$1.73B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clnc
CXP,"Columbia Property Trust, Inc.",20.54,$2.4B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxp
STK,"Columbia Seligman Premium Technology Growth Fund, Inc",23.6,$374.4M,2009,n/a,n/a,https://old.nasdaq.com/symbol/stk
CCZ,Comcast Corporation,59,n/a,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/ccz
CMA,Comerica Incorporated,71.68,$10.33B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cma
FIX,"Comfort Systems USA, Inc.",51.08,$1.87B,1997,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/fix
CMC,Commercial Metals Company,22.18,$2.63B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/cmc
CBU,"Community Bank System, Inc.",70.66,$3.65B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cbu
CYH,"Community Health Systems, Inc.",2.92,$344.11M,2000,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/cyh
CHCT,Community Healthcare Trust Incorporated,42.88,$865.22M,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/chct
CIG,Comp En De Mn Cemig ADS,3.32,$4.84B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cig
CIG.C,Comp En De Mn Cemig ADS,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cig.c
CBD,Companhia Brasileira de Distribuicao,21.78,$5.83B,1997,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/cbd
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,14.67,$10.03B,2002,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/sbs
ELP,Companhia Paranaense de Energia (COPEL),16.94,$4.64B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elp
CCU,"Compania Cervecerias Unidas, S.A.",19.51,$3.6B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ccu
CODI,Compass Diversified Holdings,24.47,$1.47B,2006,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/codi
CODI^A,Compass Diversified Holdings,25.1,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^a
CODI^B,Compass Diversified Holdings,25.711,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^b
CODI^C,Compass Diversified Holdings,25.48,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^c
CMP,"Compass Minerals International, Inc.",59.58,$2.02B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cmp
CRK,"Comstock Resources, Inc.",7.61,$1.45B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crk
CAG,"ConAgra Brands, Inc.",34.02,$16.56B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/cag
CXO,Concho Resources Inc.,85.64,$17.22B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cxo
CCM,Concord Medical Services Holdings Limited,2.74,$118.9M,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ccm
COP,ConocoPhillips,64.6,$70.88B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cop
CCR,CONSOL Coal Resources LP,10.86,$300.09M,2015,Energy,Coal Mining,https://old.nasdaq.com/symbol/ccr
CEIX,CONSOL Energy Inc.,14.75,$382.04M,2017,Energy,Coal Mining,https://old.nasdaq.com/symbol/ceix
ED,Consolidated Edison Inc,89.78,$29.85B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ed
STZ,Constellation Brands Inc,188.04,$36.04B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/stz
STZ.B,Constellation Brands Inc,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/stz.b
CSTM,Constellium SE,13.78,$1.89B,2013,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/cstm
TCS,Container Store (The),4.37,$215.15M,2013,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/tcs
CBPX,"Continental Building Products, Inc.",36.48,$1.27B,2014,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cbpx
CLR,"Continental Resources, Inc.",34.22,$12.71B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/clr
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",10.63,$1.06B,2013,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/vlrs
CTRA,"Contura Energy, Inc.",8.81,$160.47M,2018,Energy,Coal Mining,https://old.nasdaq.com/symbol/ctra
CTB,Cooper Tire & Rubber Company,28.18,$1.41B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/ctb
CPS,Cooper-Standard Holdings Inc.,33.24,$559.72M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/cps
CTK,CooTek (Cayman) Inc.,4.89,$311.03M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/ctk
CPA,"Copa Holdings, S.A.",107.97,$4.56B,2005,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cpa
CLB,Core Laboratories N.V.,47.06,$2.09B,1995,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/clb
CXW,"CoreCivic, Inc.",17.32,$2.06B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxw
CLGX,"CoreLogic, Inc.",42.91,$3.41B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/clgx
CORR,"CorEnergy Infrastructure Trust, Inc.",44.33,$600M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/corr
CORR^A,"CorEnergy Infrastructure Trust, Inc.",25.62,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/corr^a
CPLG,CorePoint Lodging Inc.,10.6,$607.59M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cplg
COR,CoreSite Realty Corporation,111.5,$4.2B,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cor
CNR,"Cornerstone Building Brands, Inc.",8.51,$1.07B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cnr
GLW,Corning Incorporated,29.12,$22.4B,n/a,Basic Industries,Telecommunications Equipment,https://old.nasdaq.com/symbol/glw
CAAP,Corporacion America Airports SA,5.83,$932.93M,2018,Transportation,Aerospace,https://old.nasdaq.com/symbol/caap
GYC,Corporate Asset Backed Corp CABCO,24.67,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/gyc
OFC,Corporate Office Properties Trust,29.08,$3.26B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ofc
CTVA,"Corteva, Inc.",28.66,$21.45B,2019,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ctva
CZZ,Cosan Limited,22.18,$4.92B,n/a,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/czz
CMRE,Costamare Inc.,9.58,$1.13B,2010,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/cmre
CMRE^B,Costamare Inc.,25.23,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^b
CMRE^C,Costamare Inc.,25.6583,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^c
CMRE^D,Costamare Inc.,25.94,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^d
CMRE^E,Costamare Inc.,26.5441,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^e
COT,Cott Corporation,13.5,$1.82B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/cot
COTY,Coty Inc.,11.01,$8.34B,2013,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/coty
CUZ,Cousins Properties Incorporated,41.03,$6.02B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,15.06,$1.98B,n/a,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/cva
CVIA,Covia Holdings Corporation,1.99,$262.15M,2018,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cvia
CPF,CPB Inc.,29.89,$848.19M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cpf
CPL,CPFL Energia S.A.,17.17,$9.89B,2004,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cpl
CR,Crane Co.,86.68,$5.2B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cr
CRD.A,Crawford & Company,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crd.b
BAP,Credicorp Ltd.,215.55,$17.19B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/bap
CS,Credit Suisse Group,13.24,$32.75B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cs
